label,value
angry,0.77
angry,0.81
angry,0.91
angry,0.85
angry,0.78
angry,0.77
angry,0.82
angry,0.85
angry,0.75
angry,0.85
angry,0.78
angry,0.80
angry,0.83
angry,0.82
angry,0.79
angry,0.85
angry,0.84
angry,0.83
angry,0.82
angry,0.81
angry,0.83
angry,0.78
angry,0.83
angry,0.76
angry,0.85
angry,0.89
angry,0.77
angry,0.82
angry,0.81
angry,0.93
angry,0.83
sad,0.79
sad,0.83
sad,0.87
sad,0.90
sad,0.92
sad,0.85
sad,0.95
sad,0.91
sad,0.90
sad,0.96
sad,0.89
sad,0.87
sad,0.85
sad,0.89
sad,0.89
sad,0.82
sad,0.83
sad,0.89
sad,0.81
sad,0.92
sad,0.88
sad,0.85
sad,0.93
sad,0.91
sad,0.95
sad,0.81
sad,0.80
sad,0.93
sad,0.82
sad,0.83
sad,0.86
wow,0.76
wow,0.94
wow,0.79
wow,0.88
wow,0.79
wow,0.75
wow,0.86
wow,0.83
wow,0.78
wow,0.76
wow,0.79
wow,0.82
wow,0.80
wow,0.80
wow,0.85
wow,0.88
wow,0.77
wow,0.78
wow,0.80
wow,0.83
wow,0.86
wow,0.86
wow,0.86
wow,0.79
wow,0.84
wow,0.76
wow,0.87
wow,0.84
wow,0.84
wow,0.80
wow,0.75
haha,0.84
haha,0.90
haha,0.82
haha,0.75
haha,0.78
haha,0.81
haha,0.80
haha,0.94
haha,0.76
haha,0.79
haha,0.85
haha,0.84
haha,0.93
haha,0.88
haha,0.85
haha,0.76
haha,0.86
haha,0.82
haha,0.76
haha,0.85
haha,0.83
haha,0.84
haha,0.76
haha,0.84
haha,0.83
haha,0.87
haha,0.77
haha,0.78
haha,0.81
haha,0.79
haha,0.78
loves,0.90
loves,0.79
loves,0.77
loves,0.84
loves,0.92
loves,0.96
loves,0.80
loves,0.80
loves,0.82
loves,0.93
loves,0.79
loves,0.95
loves,0.75
loves,0.96
loves,0.78
loves,0.76
loves,0.88
loves,0.82
loves,0.90
loves,0.92
loves,0.81
loves,0.81
loves,0.90
loves,0.99
loves,0.96
loves,0.93
loves,0.90
loves,0.85
loves,0.92
loves,0.82
loves,0.85
